num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,20,1,0,1.5,0.1,0,0,2000,2000,150,300,0,10,2,0,0,0,0,0,1,0.0056,0.0013499
50,1,20,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,3,0,0,0,0,0,2,0.0648,0.0119703
50,1,20,1,0,1.5,0.1,0,0,2000,2000,150,300,1,10,2,0,0,0,0,0,1,0.0057,0.00221359
50,1,20,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,3,0,0,0,0,0,2,0.0637,0.0134002
50,1,20,1,0,1.5,0.1,0,0,2000,2000,150,300,2,10,4,0,0,0,0,0,1,0.0104,0.0095359
50,1,20,1,0,1.5,0.1,0,1,2000,2000,150,300,2,10,4,0,0,0,0,0,2,0.0971,0.0459624
50,1,20,1,0,1.5,0.1,0,0,2000,2000,150,300,3,10,6,0,0,0,0,0,1,0.0079,0.00611828
50,1,20,1,0,1.5,0.1,0,1,2000,2000,150,300,3,10,5,0,0,0,0,0,2,0.0859,0.0112689
50,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,0,10,2,0,0,0,0,0,3,0.0057,0.00176698
50,1,20,1,0,2.0,0.1,0,1,2000,2000,150,300,0,10,2,0,0,0,0,0,4,0.0612,0.025028
50,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,1,10,2,0,0,0,0,0,3,0.0052,0.00181353
50,1,20,1,0,2.0,0.1,0,1,2000,2000,150,300,1,10,2,0,0,0,0,0,4,0.072,0.0218785
50,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,2,10,3,0,0,0,0,0,3,0.0079,0.00481779
50,1,20,1,0,2.0,0.1,0,1,2000,2000,150,300,2,10,3,0,0,0,0,0,4,0.0925,0.0433903
50,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,3,10,4,0,0,0,0,0,3,0.0065,0.00217307
50,1,20,1,0,2.0,0.1,0,1,2000,2000,150,300,3,10,4,0,0,0,0,0,4,0.0714,0.00787683
50,1,20,1,0,2.5,0.1,0,0,2000,2000,150,300,0,10,1,0,0,0,0,0,5,0.0066,0.00440202
50,1,20,1,0,2.5,0.1,0,1,2000,2000,150,300,0,10,2,0,0,0,0,0,6,0.0942,0.0216066
50,1,20,1,0,2.5,0.1,0,0,2000,2000,150,300,1,10,1,0,0,0,0,0,5,0.0161,0.0184719
50,1,20,1,0,2.5,0.1,0,1,2000,2000,150,300,1,10,2,0,0,0,0,0,6,0.1397,0.0603012
50,1,20,1,0,2.5,0.1,0,0,2000,2000,150,300,2,10,2,0,0,0,0,0,5,0.0065,0.00212132
50,1,20,1,0,2.5,0.1,0,1,2000,2000,150,300,2,10,3,0,0,0,0,0,6,0.0908,0.0226363
50,1,20,1,0,2.5,0.1,0,0,2000,2000,150,300,3,10,3,0,0,0,0,0,5,0.012,0.00710243
50,1,20,1,0,2.5,0.1,0,1,2000,2000,150,300,3,10,4,0,0,0,0,0,6,0.0857,0.0138086
50,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,0,10,2,0,0,0,0,0,7,0.0056,0.00157762
50,1,60,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,3,0,0,0,0,0,8,0.0642,0.0126386
50,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,1,10,2,0,0,0,0,0,7,0.0066,0.00222111
50,1,60,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,3,0,0,0,0,0,8,0.0966,0.0396994
50,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,2,10,3,0,0,0,0,0,7,0.0076,0.00518973
50,1,60,1,0,1.5,0.1,0,1,2000,2000,150,300,2,10,4,0,0,0,0,0,8,0.117,0.0417852
50,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,3,10,5,0,0,0,0,0,7,0.0074,0.00397772
50,1,60,1,0,1.5,0.1,0,1,2000,2000,150,300,3,10,5,0,0,0,0,0,8,0.0776,0.00632807
50,1,60,1,0,2.0,0.1,0,0,2000,2000,150,300,0,10,2,0,0,0,0,0,9,0.0056,0.00189737
50,1,60,1,0,2.0,0.1,0,1,2000,2000,150,300,0,10,2,0,0,0,0,0,10,0.2782,0.131579
50,1,60,1,0,2.0,0.1,0,0,2000,2000,150,300,1,10,2,0,0,0,0,0,9,0.0069,0.0025144
50,1,60,1,0,2.0,0.1,0,1,2000,2000,150,300,1,10,2,0,0,0,0,0,10,0.2018,0.0862616
50,1,60,1,0,2.0,0.1,0,0,2000,2000,150,300,2,10,2,0,0,0,0,0,9,0.0081,0.00384274
50,1,60,1,0,2.0,0.1,0,1,2000,2000,150,300,2,10,3,0,0,0,0,0,10,0.1196,0.0109463
